date,symbol,performance
2025-01-29,AAPL,4.0786
2025-01-29,GOOG,-0.1873
2025-01-29,MSFT,3.1000
2025-01-29,NVDA,-10.1736
2025-01-29,SPX,0.7112
2025-01-30,AAPL,6.7149
2025-01-30,GOOG,1.5028
2025-01-30,MSFT,-3.1529
2025-01-30,NVDA,-11.4890
2025-01-30,SPX,0.3625
2025-01-31,AAPL,5.4372
2025-01-31,GOOG,2.7846
2025-01-31,MSFT,-6.9789
2025-01-31,NVDA,-18.3586
2025-01-31,SPX,-0.7532
2025-02-03,AAPL,1.9449
2025-02-03,GOOG,1.5332
2025-02-03,MSFT,-8.0119
2025-02-03,NVDA,-20.7580
2025-02-03,SPX,-2.0289
2025-02-04,AAPL,4.4977
2025-02-04,GOOG,2.8777
2025-02-04,MSFT,-7.1364
2025-02-04,NVDA,-16.8069
2025-02-04,SPX,-1.0385
2025-02-05,AAPL,1.1355
2025-02-05,GOOG,-0.2426
2025-02-05,MSFT,-4.8946
2025-02-05,NVDA,5.4129
2025-02-05,SPX,0.8183
2025-02-06,AAPL,-2.1153
2025-02-06,GOOG,-1.9080
2025-02-06,MSFT,-7.0170
2025-02-06,NVDA,-0.2403
2025-02-06,SPX,0.2615
2025-02-07,AAPL,-4.9006
2025-02-07,GOOG,-5.0918
2025-02-07,MSFT,-7.3655
2025-02-07,NVDA,4.9636
2025-02-07,SPX,-0.2206
2025-02-10,AAPL,-4.1837
2025-02-10,GOOG,-7.1214
2025-02-10,MSFT,-0.6675
2025-02-10,NVDA,7.1560
2025-02-10,SPX,-0.0779
2025-02-11,AAPL,-1.4322
2025-02-11,GOOG,-9.0126
2025-02-11,MSFT,-0.8722
2025-02-11,NVDA,10.6021
2025-02-11,SPX,0.4630
2025-02-12,AAPL,3.8858
2025-02-12,GOOG,-8.4929
2025-02-12,MSFT,-0.4575
2025-02-12,NVDA,12.4121
2025-02-12,SPX,0.9575
2025-02-13,AAPL,3.7500
2025-02-13,GOOG,-9.5470
2025-02-13,MSFT,-0.4438
2025-02-13,NVDA,14.0244
2025-02-13,SPX,1.2784
2025-02-14,AAPL,5.2179
2025-02-14,GOOG,-3.3264
2025-02-14,MSFT,-1.1759
2025-02-14,NVDA,11.2313
2025-02-14,SPX,0.8768
2025-02-17,AAPL,4.8795
2025-02-17,GOOG,-3.3314
2025-02-17,MSFT,-1.7772
