date,symbol,performance
2025-03-03,AAPL,3.5003
2025-03-03,GOOG,-14.6241
2025-03-03,MSFT,-9.4492
2025-03-03,NVDA,-17.1738
2025-03-03,SPX,-2.4504
2025-03-04,AAPL,5.9693
2025-03-04,GOOG,-13.5350
2025-03-04,MSFT,-9.3092
2025-03-04,NVDA,-17.6383
2025-03-04,SPX,-4.4814
2025-03-05,AAPL,5.3210
2025-03-05,GOOG,-12.5181
2025-03-05,MSFT,-10.1255
2025-03-05,NVDA,-20.2421
2025-03-05,SPX,-4.0047
2025-03-06,AAPL,5.2177
2025-03-06,GOOG,-12.7117
2025-03-06,MSFT,-11.1526
2025-03-06,NVDA,-24.8947
2025-03-06,SPX,-6.2136
2025-03-07,AAPL,7.3121
2025-03-07,GOOG,-12.9520
2025-03-07,MSFT,-11.4286
2025-03-07,NVDA,-20.9858
2025-03-07,SPX,-5.4258
2025-03-10,AAPL,-1.0354
2025-03-10,GOOG,-13.3973
2025-03-10,MSFT,-12.5184
2025-03-10,NVDA,-9.6605
2025-03-10,SPX,-6.6151
2025-03-11,AAPL,-7.3113
2025-03-11,GOOG,-15.7761
2025-03-11,MSFT,-14.9262
2025-03-11,NVDA,-15.6834
2025-03-11,SPX,-8.1683
2025-03-12,AAPL,-9.3499
2025-03-12,GOOG,-14.2915
2025-03-12,MSFT,-13.3520
2025-03-12,NVDA,-6.4349
2025-03-12,SPX,-7.2858
2025-03-13,AAPL,-11.7471
2025-03-13,GOOG,-18.7040
2025-03-13,MSFT,-8.7279
2025-03-13,NVDA,-7.2764
2025-03-13,SPX,-9.0534
2025-03-14,AAPL,-9.5381
2025-03-14,GOOG,-18.4728
2025-03-14,MSFT,-6.3846
2025-03-14,NVDA,1.3326
2025-03-14,SPX,-6.6483
2025-03-17,AAPL,-6.1445
2025-03-17,GOOG,-17.8000
2025-03-17,MSFT,-5.4074
2025-03-17,NVDA,2.4601
2025-03-17,SPX,-5.3290
2025-03-18,AAPL,-8.6383
2025-03-18,GOOG,-21.6841
2025-03-18,MSFT,-6.9961
2025-03-18,NVDA,-2.7139
2025-03-18,SPX,-7.0094
2025-03-19,AAPL,-7.4117
2025-03-19,GOOG,-13.9783
2025-03-19,MSFT,-6.1627
2025-03-19,NVDA,-5.8560
2025-03-19,SPX,-6.3712
2025-03-20,AAPL,-8.1983
2025-03-20,GOOG,-14.6190
2025-03-20,MSFT,-6.9694
2025-03-20,NVDA,-7.8878
2025-03-20,SPX,-6.9150
2025-03-21,AAPL,-4.1119
2025-03-21,GOOG,-11.1628
2025-03-21,MSFT,-4.5125
2025-03-21,NVDA,-9.3500
2025-03-21,SPX,-5.9481
2025-03-24,AAPL,-3.0398
2025-03-24,GOOG,-9.7078
2025-03-24,MSFT,-4.6432
2025-03-24,NVDA,-9.1038
2025-03-24,SPX,-4.9266
2025-03-25,AAPL,-3.8131
2025-03-25,GOOG,-7.6335
2025-03-25,MSFT,-3.9568
2025-03-25,NVDA,-9.1190
2025-03-25,SPX,-4.8093
2025-03-26,AAPL,-6.4761
2025-03-26,GOOG,-9.8636
2025-03-26,MSFT,-4.6621
2025-03-26,NVDA,-13.2530
2025-03-26,SPX,-5.6142
2025-03-27,AAPL,-7.3200
2025-03-27,GOOG,-12.6677
2025-03-27,MSFT,-4.8619
2025-03-27,NVDA,-17.6362
2025-03-27,SPX,-6.8971
2025-03-28,AAPL,-10.9158
2025-03-28,GOOG,-16.4874
2025-03-28,MSFT,-7.2546
2025-03-28,NVDA,-21.0155
2025-03-28,SPX,-8.7281
2025-03-31,AAPL,-9.1864
2025-03-31,GOOG,-16.3964
2025-03-31,MSFT,-8.0895
2025-03-31,NVDA,-21.9445
2025-03-31,SPX,-8.2226
2025-04-01,AAPL,-8.7045
2025-04-01,GOOG,-14.4887
2025-04-01,MSFT,-6.7010
2025-04-01,NVDA,-20.9828
2025-04-01,SPX,-8.1002
2025-04-02,AAPL,-8.5678
2025-04-02,GOOG,-15.1071
2025-04-02,MSFT,-7.8670
2025-04-02,NVDA,-20.6924
2025-04-02,SPX,-7.7013
2025-04-03,AAPL,-17.3453
2025-04-03,GOOG,-18.2222
2025-04-03,MSFT,-10.3381
2025-04-03,NVDA,-27.3428
2025-04-03,SPX,-11.7858
2025-04-04,AAPL,-23.2824
2025-04-04,GOOG,-18.6364
2025-04-04,MSFT,-11.8493
2025-04-04,NVDA,-29.8445
2025-04-04,SPX,-15.6167
2025-04-07,AAPL,-26.5641
2025-04-07,GOOG,-17.6334
2025-04-07,MSFT,-11.4208
2025-04-07,NVDA,-25.0537
2025-04-07,SPX,-15.3930
2025-04-08,AAPL,-30.2056
2025-04-08,GOOG,-17.3592
2025-04-08,MSFT,-10.8922
2025-04-08,NVDA,-23.9517
2025-04-08,SPX,-16.3298
2025-04-09,AAPL,-17.2699
2025-04-09,GOOG,-7.8077
2025-04-09,MSFT,-2.3116
2025-04-09,NVDA,-12.9113
2025-04-09,SPX,-8.3807
2025-04-10,AAPL,-19.7556
2025-04-10,GOOG,-8.7186
2025-04-10,MSFT,-2.8482
2025-04-10,NVDA,-10.4702
2025-04-10,SPX,-10.1256
2025-04-11,AAPL,-18.0657
2025-04-11,GOOG,-7.4440
2025-04-11,MSFT,-2.1512
2025-04-11,NVDA,-11.1992
2025-04-11,SPX,-9.9276
2025-04-14,AAPL,-14.9183
2025-04-14,GOOG,-4.2630
2025-04-14,MSFT,-0.1750
2025-04-14,NVDA,-2.9371
2025-04-14,SPX,-7.5858
2025-04-15,AAPL,-14.3220
2025-04-15,GOOG,-8.0702
2025-04-15,MSFT,-0.7411
2025-04-15,NVDA,-3.2675
2025-04-15,SPX,-6.6028
2025-04-16,AAPL,-17.5914
2025-04-16,GOOG,-11.1378
2025-04-16,MSFT,-7.3338
2025-04-16,NVDA,-10.9207
2025-04-16,SPX,-9.7033
2025-04-17,AAPL,-16.2963
2025-04-17,GOOG,-11.9683
2025-04-17,MSFT,-7.3345
2025-04-17,NVDA,-8.2120
2025-04-17,SPX,-7.9432
2025-04-18,AAPL,-17.6057
2025-04-18,GOOG,-12.7397
2025-04-18,MSFT,-6.4911
2025-04-18,NVDA,-9.9388
2025-04-18,SPX,-8.4486
2025-04-21,AAPL,-15.0870
2025-04-21,GOOG,-10.6966
2025-04-21,MSFT,-5.5345
2025-04-21,NVDA,-9.4130
2025-04-21,SPX,-8.1282
2025-04-22,AAPL,-9.5544
2025-04-22,GOOG,-7.2780
2025-04-22,MSFT,-3.5826
2025-04-22,NVDA,-9.0750
2025-04-22,SPX,-5.1024
2025-04-23,AAPL,-5.7056
2025-04-23,GOOG,-6.6746
2025-04-23,MSFT,-2.3169
2025-04-23,NVDA,-11.2580
2025-04-23,SPX,-3.9905
2025-04-24,AAPL,-0.6248
2025-04-24,GOOG,-1.9790
2025-04-24,MSFT,2.2520
2025-04-24,NVDA,-7.9166
2025-04-24,SPX,-0.6656
2025-04-25,AAPL,-1.9720
2025-04-25,GOOG,-2.2491
2025-04-25,MSFT,0.8467
2025-04-25,NVDA,-8.7614
2025-04-25,SPX,-2.0169
2025-04-28,AAPL,-1.8037
2025-04-28,GOOG,-2.4914
2025-04-28,MSFT,0.6329
2025-04-28,NVDA,-9.0354
2025-04-28,SPX,-2.5792
2025-04-29,AAPL,-0.6958
2025-04-29,GOOG,-0.3750
2025-04-29,MSFT,2.7430
2025-04-29,NVDA,-5.5531
2025-04-29,SPX,-0.9587
2025-04-30,AAPL,-1.2730
2025-04-30,GOOG,-3.2415
2025-04-30,MSFT,1.9184
2025-04-30,NVDA,-7.3179
2025-04-30,SPX,-1.8718
2025-05-01,AAPL,-0.3643
2025-05-01,GOOG,-1.3693
2025-05-01,MSFT,9.9679
